Wall time,Relative time (s),Step,Value
1585089888,12200,33701,0.002017264
1585089922,12234,33801,0.001649192
1585089955,12267,33901,0.001332327
1585090008,12320,34001,0.001059862
1585090041,12353,34101,0.001911097
1585090075,12387,34201,0.00157935
1585090108,12420,34301,0.002687671
1585090142,12454,34401,0.001074523
1585090175,12487,34501,0.002302824
1585090208,12520,34601,0.001009087
1585090242,12554,34701,0.002134376
1585090278,12590,34801,0.002774982
1585090312,12624,34901,0.00141414
1585090346,12658,35001,0.001385766
1585090379,12691,35101,0.000662618
1585090412,12724,35201,0.002641602
1585090446,12758,35301,0.000709069
1585090479,12791,35401,0.001531676
1585090520,12832,35501,0.001358496
1585090555,12867,35601,0.002212887
1585090588,12900,35701,0.00066971
1585090621,12933,35801,0.000501412
1585090655,12967,35901,0.000843386
1585090706,13018,36001,0.001325493
1585090740,13052,36101,0.000589526
1585090773,13085,36201,0.001953773
1585090807,13119,36301,0.000603579
1585090841,13153,36401,0.001483885
1585090874,13186,36501,0.000585631
1585090907,13219,36601,0.000752069
1585090941,13253,36701,0.000520886
1585090975,13287,36801,0.000969557
1585091010,13322,36901,0.002571026
1585091044,13356,37001,0.000501761
1585091077,13389,37101,0.000635485
1585091112,13424,37201,0.001593736
1585091147,13459,37301,0.0026657
1585091180,13492,37401,0.000752058
1585091213,13525,37501,0.001115001
1585091252,13564,37601,0.001667608
1585091287,13599,37701,0.000778618
1585091320,13632,37801,0.001567242
1585091363,13675,37901,0.000464458
1585091415,13727,38001,0.000612284
1585091448,13760,38101,0.000904375
1585091481,13793,38201,0.000521873
1585091515,13827,38301,0.000622101
1585091548,13860,38401,0.000282177
1585091581,13893,38501,0.000309548
1585091615,13927,38601,0.000770125
1585091648,13960,38701,0.000449463
1585091683,13995,38801,0.000621279
1585091717,14029,38901,0.001846026
1585091751,14063,39001,0.001143873
1585091784,14096,39101,0.001033991
1585091817,14129,39201,0.0002365
1585091851,14163,39301,0.003475818
1585091886,14198,39401,0.00045347
1585091921,14233,39501,0.000696206
1585091958,14270,39601,0.000743899
1585091998,14310,39701,0.000505193
1585092034,14346,39801,0.002223736
1585092067,14379,39901,0.001989348
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
