Wall time,Time,Progress,Step,Norm loss,Value
1588299233,813,0.4691332788,29835,0.05380796715,0.16055167
1588299236,816,0.4710359142,29956,0.04072670103,0.12151992
1588299239,819,0.4729071011,30075,0.06075280595,0.18127361
1588299243,823,0.4747940122,30195,0.05987133638,0.17864349
1588299255,835,0.4818699289,30645,0.08130842871,0.24260727
1588299258,838,0.4836467702,30758,0.05249410454,0.15663138
1588299261,841,0.4854393358,30872,0.04448437509,0.13273203
1588299264,844,0.4872790742,30989,0.03428062053,0.10228617
1588299267,847,0.4891659853,31109,0.0146277624,0.04364617
1588299270,850,0.4909585509,31223,0.06754013366,0.20152557
1588299281,861,0.4969494937,31604,0.04618200131,0.13779739
1588299284,864,0.4988521291,31725,0.06166946566,0.18400873
1588299287,867,0.5007390402,31845,0.1053158696,0.31424043
1588299290,870,0.5025158815,31958,0.05742973352,0.17135826
1588299293,873,0.5044027926,32078,0.04851216871,0.14475012
1588299296,876,0.506305428,32199,0.02056560336,0.06136344
1588299307,887,0.5122020253,32574,0.02661451782,0.07941213
1588299310,890,0.5141046607,32695,0.02890349935,0.08624197
1588299313,893,0.5159915718,32815,0.02041253293,0.06090671
1588299316,896,0.5178784829,32935,0.02952119699,0.08808505
1588299319,899,0.5196710485,33049,0.03660046884,0.10920811
1588299322,902,0.5215736839,33170,0.02306898336,0.068833
1588299325,905,0.5234448707,33289,0.03093202017,0.09229465
1588299335,915,0.5285395308,33613,0.01356347836,0.04047057
1588299337,917,0.5303320964,33727,0.01710426383,0.05103553
1588299340,920,0.5322190075,33847,0.04219862436,0.12591183
1588299343,923,0.5340430216,33963,0.03175684031,0.09475574
1588299346,926,0.5358198629,34076,0.01796149911,0.05359334
1588299349,929,0.537643877,34192,0.03308054945,0.09870541
1588299352,932,0.5395307881,34312,0.01523203416,0.04544919
1588299361,941,0.5442795144,34614,0.01024185376,0.03055954
1588299364,944,0.5461507013,34733,0.01312741213,0.03916944
1588299367,947,0.5479432669,34847,0.0195290525,0.05827059
1588299370,950,0.5497830052,34964,0.01643335533,0.04903368
1588299373,953,0.5516699163,35084,0.02642718895,0.07885318
1588299376,956,0.5534310334,35196,0.01278942922,0.03816097
1588299379,959,0.5552707717,35313,0.01858210246,0.05544509
1588299388,968,0.5602710862,35631,0.007717845632,0.02302843
1588299391,971,0.5620793761,35746,0.01119057001,0.03339031
1588299394,974,0.5638719416,35860,0.01963666732,0.05859169
1588299397,977,0.5656487829,35973,0.0241058593,0.07192682
1588299400,980,0.567472797,36089,0.008755361705,0.02612416
1588299403,983,0.5692653626,36203,0.007270816841,0.02169459
1588299406,986,0.5710422039,36316,0.008308128476,0.02478971
1588299417,997,0.5773319077,36716,0.02022991284,0.06036181
1588299420,1000,0.5792502673,36838,0.00529610342,0.01580246
1588299423,1003,0.5810113844,36950,0.01593482158,0.04754616
1588299426,1006,0.5828039499,37064,0.007625774807,0.02275371
1588299429,1009,0.584565067,37176,0.004269174554,0.01273832
1588299432,1012,0.5864048053,37293,0.02255269366,0.0672925
1588299444,1024,0.5928674759,37704,0.006759437005,0.02016874
1588299447,1027,0.5947543871,37824,0.01872362046,0.05586735
1588299450,1030,0.5966570225,37945,0.004121245238,0.01229693
1588299453,1033,0.5985596578,38066,0.01532150762,0.04571616
1588299456,1036,0.600446569,38186,0.00612739854,0.01828287
1588299459,1039,0.6022391345,38300,0.01329502782,0.03966957
1588299472,1052,0.60923643,38745,0.01371295604,0.04091658
1588299475,1055,0.6110289955,38859,0.01409817418,0.04206599
1588299478,1058,0.6128058368,38972,0.02192339667,0.06541481
1588299481,1061,0.614692748,39092,0.005592974186,0.01668826
1588299484,1064,0.6165953834,39213,0.008685088661,0.02591448
1588299487,1067,0.6183879489,39327,0.00374453306,0.0111729
1588299498,1078,0.6244889616,39715,0.005731640115,0.01710201
1588299501,1081,0.6263601484,39834,0.01397607443,0.04170167
1588299504,1084,0.6282470596,39954,0.007421997055,0.02214568
1588299507,1087,0.6300396251,40068,0.005403912619,0.01612414
1588299510,1090,0.6318164664,40181,0.0178382029,0.05322545
1588299513,1093,0.6336404805,40297,0.003298982255,0.00984347
1588299524,1104,0.6398830115,40694,0.007413313468,0.02211977
1588299527,1107,0.6416755771,40808,0.01426327963,0.04255863
1588299530,1110,0.6434681427,40922,0.02378395996,0.07096634
1588299533,1113,0.6453236053,41040,0.0122528566,0.03655995
1588299536,1116,0.6471790679,41158,0.003043887218,0.00908232
1588299539,1119,0.6490817033,41279,0.004012299901,0.01197186
1588299542,1122,0.6509686144,41399,0.00540214976,0.01611888
1588299553,1133,0.6568494874,41773,0.01124249391,0.03354524
1588299556,1136,0.658642053,41887,0.01779417165,0.05309407
1588299559,1139,0.6605446883,42008,0.005883430292,0.01755492
1588299562,1142,0.6623372539,42122,0.00584076643,0.01742762
1588299565,1145,0.6641769923,42239,0.01572591277,0.04692282
1588299568,1148,0.6660639034,42359,0.007075166337,0.02111081
1588299578,1158,0.6717560853,42721,0.004603162544,0.01373487
1588299581,1161,0.6736587207,42842,0.00463682108,0.0138353
1588299584,1164,0.675435562,42955,0.01514473579,0.04518871
1588299587,1167,0.6772124033,43068,0.005439598777,0.01623062
1588299590,1170,0.6789892446,43181,0.003320297429,0.00990707
1588299593,1173,0.6807975344,43296,0.004121694332,0.01229827
1588299596,1176,0.6827001698,43417,0.01352113623,0.04034423
1588299605,1185,0.6874331719,43718,0.01169077279,0.03488281
1588299608,1188,0.6892100132,43831,0.003916301185,0.01168542
1588299611,1191,0.6911126486,43952,0.005171037645,0.01542929
1588299614,1194,0.6929209384,44067,0.002557103618,0.00762986
1588299617,1197,0.6948078496,44187,0.005958294812,0.0177783
1588299620,1200,0.6966947607,44307,0.003294645489,0.00983053
1588299623,1203,0.698534499,44424,0.01004845877,0.02998249
1588299631,1211,0.7030473615,44711,0.005865758136,0.01750219
1588299634,1214,0.7048556513,44826,0.001600849969,0.0047766
1588299637,1217,0.7067268382,44945,0.01226197587,0.03658716
1588299640,1220,0.7084879552,45057,0.007681881303,0.02292112
1588299643,1223,0.7102805208,45171,0.003297403726,0.00983876
1588299646,1226,0.7121831562,45292,0.009749865366,0.02909155
1588299649,1229,0.713928549,45403,0.003013067354,0.00899036
