Wall time,Time,Progress,Step,Norm loss,Value,Loss alpha,Loss alpha abs
1588298907,487,0.2775017297,17648,0.1552751375,0.46330839,-0.02186423,0.02186423
1588298910,490,0.2793729165,17767,0.2025962471,0.60450464,-0.14119625,0.14119625
1588298913,493,0.2811654821,17881,0.1613444019,0.4814178,0.12308684,0.12308684
1588298916,496,0.283036669,18000,0.1787628601,0.53339082,-0.05197302,0.05197302
1588298919,499,0.2848449588,18115,0.1634150202,0.48759609,0.04579473,0.04579473
1588298929,509,0.2901125857,18450,0.1656233861,0.49418539,-0.0065893,0.0065893
1588298932,512,0.2919208755,18565,0.1704509612,0.50858986,-0.01440447,0.01440447
1588298934,514,0.2937134411,18679,0.1107149628,0.33035019,0.17823967,0.17823967
1588298937,517,0.2955060067,18793,0.1217871062,0.36338714,-0.03303695,0.03303695
1588298940,520,0.2973771935,18912,0.1445417712,0.43128228,-0.06789514,0.06789514
1588298943,523,0.2991854834,19027,0.1164232199,0.34738243,0.08389985,0.08389985
1588298946,526,0.3009937732,19142,0.1361944175,0.40637553,-0.0589931,0.0589931
1588298957,537,0.3066859551,19504,0.1333637356,0.39792937,0.00844616,0.00844616
1588298960,540,0.3085099692,19620,0.1082339336,0.32294732,0.07498205,0.07498205
1588298963,543,0.3103654318,19738,0.1731454271,0.51662958,-0.19368226,0.19368226
1588298966,546,0.3121737216,19853,0.1570172507,0.46850649,0.04812309,0.04812309
1588298969,549,0.3140606327,19973,0.1149529924,0.34299558,0.12551091,0.12551091
1588298972,552,0.3158531983,20087,0.1848021894,0.55141091,-0.20841533,0.20841533
1588298983,563,0.3219856595,20477,0.1121747305,0.33470583,0.21670508,0.21670508
1588298986,566,0.3238096736,20593,0.1358683959,0.40540275,-0.07069692,0.07069692
1588298989,569,0.325712309,20714,0.2077321382,0.61982906,-0.21442631,0.21442631
1588298992,572,0.3275048745,20828,0.1794907297,0.53556263,0.08426643,0.08426643
1588298994,574,0.3292345431,20938,0.1160544372,0.34628206,0.18928057,0.18928057
1588298998,578,0.3311214542,21058,0.09986077036,0.29796356,0.0483185,0.0483185
1588299001,581,0.332929744,21173,0.1282336191,0.38262218,-0.08465862,0.08465862
1588299014,594,0.3401786276,21634,0.08256487776,0.24635625,0.13626593,0.13626593
1588299017,597,0.3419869174,21749,0.1248173564,0.37242877,-0.12607252,0.12607252
1588299020,600,0.3437952072,21864,0.1109723971,0.33111832,0.04131045,0.04131045
1588299023,603,0.3455877728,21978,0.09405997658,0.28065521,0.05046311,0.05046311
1588299026,606,0.3473488899,22090,0.08915567018,0.26602179,0.01463342,0.01463342
1588299029,609,0.3491100069,22202,0.1135846085,0.33891261,-0.07289082,0.07289082
1588299038,618,0.3540474244,22516,0.07577606201,0.22609985,0.11281276,0.11281276
